bird_name,scientific_name,family,at_a_glance,conservation_status,habitat,url
Golden-crowned Warbler,Basileuterus culicivorus,,"In the tropics, this warbler inhabits a variety of wooded areas, from fairly dry lowland woods to humid cloud forest in the mountains. Within our area it is known only as a rare stray into southern Texas, mostly in winter. The golden color on its crown is often inconspicuous, but the bird may draw attention by its insect-like ticking callnotes.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/golden-crowned-warbler
LeConte's Thrasher,Toxostoma lecontei,,"As pale as desert sand is this wraith of the arid saltbush flats. It seldom flies unless closely pressed, instead running about with great speed on the open ground, its tail cocked up above its back. For many years after its discovery, Le Conte's Thrasher was considered a rare bird, because it lives in desert so barren and forbidding that few people would have thought to seek birds there.",Least Concern,Desert and Arid Habitats,https://www.audubon.org/field-guide/bird/lecontes-thrasher
Masked Booby,Sula dactylatra,,"Widespread in tropical oceans, this large, long-winged seabird occurs regularly off our southern Atlantic and Gulf coasts; it is also common in Hawaii, mainly in the northwestern chain. Known as a visitor to the Dry Tortugas, Florida, for many years, the Masked Booby did not actually begin to nest there until the 1980s.",Least Concern,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/masked-booby
Black Noddy,Anous minutus,,"Among the thousands of Brown Noddies at the Dry Tortugas, Florida, one or two Black Noddies have been found in most years since 1960. This tropical tern, slightly smaller and darker than the Brown Noddy, has not yet been proven to nest there.",Least Concern,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/black-noddy
Smooth-billed Ani,Crotophaga ani,,"John James Audubon and other early naturalists failed to find the Smooth-billed Ani in Florida, but it became a regular nesting bird there during the 1930s and was fairly common for several decades. Recently it has become very scarce again and may disappear from Florida.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/smooth-billed-ani
Falcated Duck,Mareca falcata,,"This Asian duck, formerly called Falcated Teal, is a very rare stray into western Alaska. Sightings elsewhere in North America are likely to refer to escapes from captivity.",Least Concern,"Freshwater Wetlands, Lakes, Ponds, and Rivers, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/falcated-duck
Couch's Kingbird,Tyrannus couchii,,"This Texas specialty is almost identical to the Tropical Kingbird, and was considered a race of that species until the 1980s. However, their voices are quite different, and they live side by side in eastern Mexico without interbreeding. Couch's Kingbirds are common around woodland edges and near ponds and rivers in southern Texas during the summer, and a few remain all winter there.",Least Concern,"Forests and Woodlands, Lakes, Ponds, and Rivers, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/couchs-kingbird
Virginia's Warbler,Leiothlypis virginiae,,"A rather plain warbler that spends the summer in brush and chaparral on dry mountainsides in the West. The dense low nature of its habitat often makes Virginia's Warbler hard to observe, but its presence is revealed by its simple trilled song and by its hard callnote, tsick. Although it is common over much of the West, its nesting behavior remains poorly known, partly because its nest is extremely difficult to find.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/virginias-warbler
Red-masked Parakeet,Psittacara erythrogenys,,"This colorful, long-tailed parrot is native to northwestern South America, where it lives mainly in dry forests of western Ecuador and southwestern Peru. Escaped cagebirds have established feral populations around San Francisco, Los Angeles, and San Diego, California, and locally in Florida. Often they are found in mixed flocks with the similar Mitred Parakeet. In the United States these parakeets are seen mostly around exotic plantings in city parks and suburbs, not in wild habitats.",Least Concern,"Forests and Woodlands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/red-masked-parakeet
Pomarine Jaeger,Stercorarius pomarinus,,"Powerful and fast-flying, a predator and pirate of the ocean and the far north. The largest of the three jaeger species. Not seen from shore as often as Parasitic Jaeger, but usually the one seen in greatest numbers on boat trips offshore. In northern Alaska, this is a major predator on the brown lemming: During summers when these rodents are in low numbers, many Pomarine Jaegers do not attempt to nest.",Least Concern,"Coasts and Shorelines, Lakes, Ponds, and Rivers, Open Ocean, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/pomarine-jaeger
Bridled Tern,Onychoprion anaethetus,,"A widespread seabird of the tropics and subtropics. Sometimes common over the warm waters of the Gulf Stream, but seldom seen from land in North America except after hurricanes. A handful of pairs have nested in southern Florida since 1987. Very light and buoyant in its flight. Almost never seen resting on ocean; birds at sea may perch on driftwood or floating debris.",Least Concern,Open Ocean,https://www.audubon.org/field-guide/bird/bridled-tern
Sprague's Pipit,Anthus spragueii,,"Audubon called this bird the 'Missouri skylark,' because he found it singing in the sky over the prairies along the upper Missouri River. Sprague's Pipit delivers its breathy flight-song while hovering high in the air, often for minutes at a time, over the northern Great Plains in summer. In winter, it becomes an elusive skulker in the short grass of dry prairies. Unlike the American Pipit, Sprague's never occurs in flocks. Even where it is common in winter, the birds flush singly from the grass, to circle high in the air before diving steeply to land again.",Vulnerable,"Fields, Meadows, and Grasslands",https://www.audubon.org/field-guide/bird/spragues-pipit
Kittlitz's Murrelet,Brachyramphus brevirostris,,"A compact little seabird of Alaskan waters. Closely related to Marbled Murrelet and, like that species, rather mysterious and poorly known. Much more limited in range, being common mainly from Kodiak Island east to Glacier Bay. Solitary in its nesting; only a few nests have been found, so its breeding behavior is not well known.",Near Threatened,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/kittlitzs-murrelet
Rose-ringed Parakeet,Psittacula krameri,,"Native to southern Asia and central Africa, this big, long-tailed parakeet has been very popular as a cage bird all over the world. Apparently it is also very adaptable, because escaped birds have managed to establish feral populations in many regions of the globe. Most of these are centered around cities, in areas as diverse as Hong Kong, Singapore, Jerusalem, Paris, and London. In the U.S. there are wild flocks around Los Angeles and Bakersfield, California, and around Naples, Florida, with scattered sightings in many other locales.",Least Concern,"Forests and Woodlands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/rose-ringed-parakeet
Black Turnstone,Arenaria melanocephala,,"This is a characteristic bird of wave-washed rocky shorelines along the Pacific Coast in winter. Against the background of dark rocks it is hard to see when it sits still, but it is usually moving, clambering about in search of barnacles and limpets.",Least Concern,"Coasts and Shorelines, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/black-turnstone
McKay's Bunting,Plectrophenax hyperboreus,,"Few birders ever get to see this whitest of North American songbirds on its main nesting grounds, remote St. Matthew and Hall Islands in the Bering Sea. During many summers, however, a few McKay's Buntings appear on St. Lawrence Island or the Pribilofs, sites more easily visited. On those islands the bird may interbreed with the local Snow Buntings, as the two species apparently are very closely related.",Least Concern,Tundra and Boreal Habitats,https://www.audubon.org/field-guide/bird/mckays-bunting
Cassin's Auklet,Ptychoramphus aleuticus,,"A small, dark seabird, nesting on islands along the Pacific Coast from Alaska to Mexico. Sociable at all seasons, feeding in flocks at sea and nesting in large colonies. Its small size makes it vulnerable to predators, so it visits its nesting colonies mainly under the protection of darkness. A Cassin's Auklet colony at night may resound with the squealing and peeping of the birds in their burrows.",Near Threatened,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/cassins-auklet
Black-tailed Godwit,Limosa limosa,,"The rarest of the four godwits in our area, the Black-tail nests in Eurasia and is only a stray to North America. In Alaska it may be a rare but regular migrant in spring in the Aleutian Islands. On our Atlantic Coast it is only casual or accidental, but strays have been found in several states and provinces, from Newfoundland to Florida.",Least Concern,"Coasts and Shorelines, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/black-tailed-godwit
Short-tailed Albatross,Phoebastria albatrus,,"This massive seabird, nesting on islands in the western North Pacific, was once a common visitor in offshore waters of the western U.S. and Canada. Driven almost to extinction in the early years of the 20th century, it has made a very slow comeback. It is now being seen regularly in small numbers at sea off southern Alaska, mainly near the Aleutian Islands, with scattered sightings elsewhere offshore as far south as California.",Vulnerable,Open Ocean,https://www.audubon.org/field-guide/bird/short-tailed-albatross
Lesser Black-backed Gull,Larus fuscus,,"Once a rare stray to North America, this European gull has become a very common visitor here. Thousands are found every winter (with smaller numbers at other seasons), mainly along the Atlantic Coast south to Florida and inland to the Great Lakes, but with smaller numbers all across the continent. This increase undoubtedly is related to the growing population of the species in Iceland, where it first nested in the 1920s and is now present by the thousands, and in Greenland, where it is a more recent arrival. Similar in appearance and habits to the American Herring Gull, but slightly smaller, and may be more agile in flight.",Least Concern,"Coasts and Shorelines, Lakes, Ponds, and Rivers, Landfills and Dumps, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/lesser-black-backed-gull
Bluethroat,Luscinia svecica,,"A prize find for birders who visit northwestern Alaska is this elusive little chat. Bluethroats usually skulk in low dense shrubbery, but sometimes a male will perch up conspicuously to sing, or even sing in brief flights above the thickets. The song is quite variable, often including imitations of other birds. The colorful throat patch of males is prominently shown off in aggressive encounters between rivals, as well as in courtship.",Least Concern,"Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/bluethroat
Emperor Goose,Anser canagicus,,"This tidewater goose of the Bering Sea region seems less wary than most other geese. Uncommon and localized, it ordinarily migrates only short distances, from the Alaskan and Siberian tundra to the Aleutian chain; only a few stragglers are seen south of Alaska. Generally does not mix with other geese, and usually travels in small groups, although large numbers may concentrate at a few key spots in migration and winter.",Near Threatened,"Coasts and Shorelines, Freshwater Wetlands, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/emperor-goose
Streak-backed Oriole,Icterus pustulatus,,"Dry tropical forests, from northwestern Mexico to Costa Rica, are the usual haunts of this colorful oriole. The bird is a rare stray into the Southwest, mostly southern Arizona and southern California. Most records in the past were for fall and winter, but recently a couple of pairs have stayed through the summer and have even nested in Arizona.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/streak-backed-oriole
Eurasian Jackdaw,Coloeus monedula,,"This small Eurasian crow staged a minor invasion of northeastern North America in the early to mid 1980s, with singles and small groups found in several states and provinces, and up to 50 at one spot in Quebec. These birds may have ridden on ships for part or all of their crossing of the Atlantic. There have been only a few records since 1986.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/eurasian-jackdaw
Red-billed Pigeon,Patagioenas flavirostris,,"A common bird of dry woods in Mexico and Central America, this big pigeon enters our area only in southern Texas. There it inhabits native woods along the Rio Grande, where it is uncommon in summer and rare in winter. The rich cooing song of the male may help the observer to discover the Red-bill as it perches, half hidden, in the top of a dense low tree.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/red-billed-pigeon
Stilt Sandpiper,Calidris himantopus,,"This wader is related to our very smallest sandpipers, but it is much more stretched-out in shape, designed for feeding in deeper water. In its drab winter plumage the Stilt Sandpiper is often overlooked, passed off as either a yellowlegs or a dowitcher, depending on what it is doing. Standing or walking, it looks rather like a yellowlegs; feeding, it acts like a dowitcher, probing the mud with a sewing-machine motion.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/stilt-sandpiper
Black-faced Grassquit,Melanospiza bicolor,,"Widespread in the Caribbean region is this dark, stubby little finch. Black-faced Grassquits live in brushy fields, clearings, and the edges of woods, often gathering in small flocks. Common in the Bahamas, they have strayed to Florida on several occasions.",Least Concern,"Fields, Meadows, and Grasslands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/black-faced-grassquit
Key West Quail-Dove,Geotrygon chrysia,,"Although it was named for Key West, Florida, where it probably nested in the 1800s, today this bird is only a rare visitor to Florida from islands in the Caribbean. A chunky, rotund bird, it walks quietly on the ground under very dense cover, and is often difficult to find even where it is common.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/key-west-quail-dove
Crissal Thrasher,Toxostoma crissale,,"This big dark thrasher of the desert regions manages to stay out of sight most of the time, hiding in thickets. At some seasons its presence is revealed mainly by its rolling callnotes, heard especially at dawn and dusk. The observer who seeks it may find the Crissal Thrasher foraging on the ground under dense cover, using its long curved bill to dig in the desert soil. In spring, males move up to higher perches to sing their musical but disjointed song.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/crissal-thrasher
Morelet's Seedeater,Sporophila morelleti,,"This tiny finch is abundant in Mexico and Central America, but it has had a checkered history in our area. In extreme southern Texas, the seedeater was common as recently as the 1940s, but by the mid-1970s it had all but vanished north of the border. In recent years it has reappeared in small numbers in the Falcon Dam area. Flocks of Morelet's Seedeaters feed low in rank weedy places, calling to each other in soft voices. They may roost in tall marsh growth along the Rio Grande. The surprisingly clear whistled song of the male is not often heard in our area.",Least Concern,"Fields, Meadows, and Grasslands, Freshwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/morelets-seedeater
Ruddy Ground Dove,Columbina talpacoti,,"Very common in the tropics, this little ground dove ranges north to northern Mexico, and recently it has been showing up increasingly often in our Southwest. These visitors appear mainly in fall and often stay through the winter. They have been found at various points from southern California to southern Texas, often associating with Inca Doves.",Least Concern,"Desert and Arid Habitats, Fields, Meadows, and Grasslands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/ruddy-ground-dove
Varied Bunting,Passerina versicolor,,"Brushy country near the Mexican border provides a summer home for this elegant bunting. The dense and thorny nature of its habitat may make it seem hard to approach, but the bird is not especially shy, and sometimes may be watched at very close range. In Arizona, where its nesting is timed to the summer rains, male Varied Buntings may be in full song on mornings in August.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/varied-bunting
Red-faced Warbler,Cardellina rubrifrons,,"In New Mexico and Arizona, the brisk song of the Red-faced Warbler is heard in summer, in leafy groves surrounded by conifer forest, high in the mountains. This bird and the Painted Redstart, both Mexican border specialties, are our only warblers that wear bright red. In both, unlike many warblers, the females are nearly or quite as brightly colored as the males. Despite their conspicuous colors, both make the seemingly risky move of placing their nests on the ground.",Least Concern,"Arroyos and Canyons, Forests and Woodlands",https://www.audubon.org/field-guide/bird/red-faced-warbler
Yellow-eyed Junco,Junco phaeonotus,,"Mountain forests near the Mexican border are home to this distinctive junco. Unlike its Dark-eyed Junco relatives to the north, it moves over the ground with an odd shuffling walk; it also has a much more musical and varied song. Its bright yellow or yellow-orange eye gives it an almost fierce look, all out of proportion to the small size of the bird.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/yellow-eyed-junco
Aztec Thrush,Ridgwayia pinicola,,"An uncommon resident of mountain pine forests of Mexico. Quiet and shy, it is easily overlooked despite its striking pattern. Aztec Thrush was never found in our area until the late 1970s, but in recent years one or two have shown up almost annually in mountains near the Mexican border, especially in late summer in southeastern Arizona.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, High Mountains",https://www.audubon.org/field-guide/bird/aztec-thrush
Red-billed Tropicbird,Phaethon aethereus,,"The only tropicbird likely to be seen off the California coast, but rare even there; sometimes seen on boat trips to the southern Channel Islands. Common in parts of the Caribbean, the Red-billed Tropicbird very rarely strays to waters off Florida or elsewhere in the east.",Least Concern,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/red-billed-tropicbird
Surfbird,Calidris virgata,,"Named for its winter haunts, the Surfbird spends the winter (as well as migration seasons) on rocky coastlines pounded by the surf, often clambering about the rocks barely above the reach of the waves. But this stocky little sandpiper leads a double life, abandoning the coast in late spring. Its nesting grounds, high in the mountains in Alaska and the Yukon Territory, were not discovered until the 1920s.",Least Concern,"Coasts and Shorelines, High Mountains, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/surfbird
Band-rumped Storm-Petrel,Hydrobates castro,,"Until the late 1970s, this species was considered an accidental visitor to North America, with a few having been found inland after hurricanes. With increased surveys offshore, it has proven to be a regular visitor far off our southern Atlantic and Gulf Coasts. It may have been overlooked in the past because of its great similarity to Leach's Storm-Petrel.",Least Concern,Open Ocean,https://www.audubon.org/field-guide/bird/band-rumped-storm-petrel
Wandering Tattler,Tringa incana,,"Along rocky shorelines on the west coast, this gray sandpiper clambers actively over the boulders. If an observer approaches too closely, the bird gives a loud 'tattling' call and flies away, spooking the other shorebirds on the rocks. The name 'Wandering' refers to the wide distribution of this species: in winter it is found along Pacific coastlines from North America to Australia, including innumerable islands in the southwest Pacific. In summer, for a change of pace, it goes to high mountains in Alaska and northwestern Canada.",Least Concern,"Coasts and Shorelines, High Mountains, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/wandering-tattler
Eurasian Kestrel,Falco tinnunculus,,"The Eurasian replacement for our American Kestrel is a larger bird (a little larger than a Merlin). Widespread across Europe and Asia, it has strayed to our area from both directions, with scattered records for the northeast and for Alaska and British Columbia.",Least Concern,"Coasts and Shorelines, Forests and Woodlands",https://www.audubon.org/field-guide/bird/eurasian-kestrel
Hermit Warbler,Setophaga occidentalis,,"This warbler nests in forests of fir, hemlock, and other conifers, in the mountains and along the coast, from California north to Washington. It also winters locally on the California coast, almost always in conifers. No more of a 'hermit' than other warblers, it often joins mixed flocks of birds in the mountain pine forests during migration. This species is closely related to Townsend's Warbler, and the two often interbreed where their ranges meet in Washington and Oregon.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, High Mountains",https://www.audubon.org/field-guide/bird/hermit-warbler
Xantus's Hummingbird,Basilinna xantusii,,"Related to the White-eared Hummingbird but resident only in Baja, this hummingbird is the most distinctive of the few Baja specialty birds. A female of this species once strayed north to Ventura, California, where it actually built a nest and laid eggs that did not hatch. Another once strayed all the way north to British Columbia.",Least Concern,"Desert and Arid Habitats, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/xantuss-hummingbird
Long-tailed Jaeger,Stercorarius longicaudus,,"A swift-flying seabird, extremely graceful and agile in flight. When swimming, it floats buoyantly, and it takes flight from the water easily. Of the three jaeger species, the Long-tail is the smallest and the one that migrates farthest offshore; south of the Arctic, it seldom comes within sight of land.",Least Concern,"Lakes, Ponds, and Rivers, Open Ocean, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/long-tailed-jaeger
Whiskered Auklet,Aethia pygmaea,,"Poorly known to most birders, the Whiskered Auklet is a small seabird confined to remote areas of the Aleutian Islands, Alaska (as well as the Commander and Kurile islands off eastern Asia). Relatively scarce and secretive, it is active around its nesting colonies mostly at night. Unlike most auks, it seldom ventures more than a few miles away from shore. One odd distinction shared with its relative, Crested Auklet: the plumage has a noticeable odor like citrus.",Least Concern,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/whiskered-auklet
Sabine's Gull,Xema sabini,,"A small gull with a spectacular wing pattern. Generally a prized sighting for birders, because it nests on tundra of the high Arctic and migrates south at sea, often well offshore. A young Sabine's that goes astray in fall may cause excitement by showing up on a pond far inland. Delicate in its feeding, this species often floats in the air low over the water, dipping down to take food from the surface without landing. Its flight action may suggest a tern more than a gull.",Least Concern,"Lakes, Ponds, and Rivers, Open Ocean, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/sabines-gull
Eastern Yellow Wagtail,Motacilla tschutschensis,,"This Asian species is common over much of western and northern Alaska in summer, nesting around scrub willow thickets on the tundra. If a birder intrudes on their nesting territory, a pair of Yellow Wagtails will often hover overhead, repeatedly calling in shrill voices.",Least Concern,Tundra and Boreal Habitats,https://www.audubon.org/field-guide/bird/eastern-yellow-wagtail
Tropical Parula,Setophaga pitiayumi,,"Very similar to our Northern Parula, this bird is widespread in the tropics, from northern Mexico to central Argentina. In our area, it is mainly a summer resident of southern Texas, especially in low live-oak groves south of Kingsville. Most of these birds seem to disappear in winter, but a few can be found at that season associating with roving flocks of titmice and other birds in woods along the Rio Grande.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/tropical-parula
Pink-footed Shearwater,Ardenna creatopus,,"The largest of the shearwaters to be seen commonly off our Pacific Coast, with rather heavy and slow wingbeats, often gliding and wheeling above the waves, especially in windy conditions. May be solitary or mixed randomly with other seabirds, but not seen in pure flocks of its own species. Nesting only on islands off southern South America, it is a common summer visitor to our coastal waters as far north as southeastern Alaska.",Vulnerable,Open Ocean,https://www.audubon.org/field-guide/bird/pink-footed-shearwater
White-cheeked Pintail,Anas bahamensis,,"Widespread in the Caribbean and South America, this marsh duck sometimes wanders to Florida, mainly in winter. Sightings elsewhere in eastern North America might pertain to escapes from captivity.",Least Concern,"Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/white-cheeked-pintail
Red-tailed Tropicbird,Phaethon rubricauda,,"This graceful seabird ranges widely in the tropical Pacific and Indian Oceans, and may be seen by visitors to Hawaii. In North American waters it has been found far off the coast of California, where it may be a rare but regular visitor more than 100 miles from land. Even more than its relatives, it seems to wander great distances away from its nesting islands.",Least Concern,Open Ocean,https://www.audubon.org/field-guide/bird/red-tailed-tropicbird
Oriental Turtle-Dove,Streptopelia orientalis,,"Very common in eastern Asia, and migratory in the northern part of its range, this dove has strayed to Alaska several times. Records elsewhere in North America might have involved birds that had escaped from captivity.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/oriental-turtle-dove
Dusky-capped Flycatcher,Myiarchus tuberculifer,,"The mournful whistle of the Dusky-capped Flycatcher is a common sound in woodlands almost throughout the American tropics. This bird reaches its northern limits in Arizona and New Mexico, where it is common in summer in canyons and pine-oak forest. There are places in the lower canyons of Arizona where it can be found side by side with two close relatives in the crested flycatcher group, the Ash-throated and Brown-crested flycatchers.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/dusky-capped-flycatcher
Common Greenshank,Tringa nebularia,,"A big shorebird, common in Europe and Asia. There it seems to fill the same niche as our Greater Yellowlegs; it is not too different in appearance, and it even sounds similar. Common Greenshanks show up in small numbers on the Alaskan islands, mostly during spring migration.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/common-greenshank
Variegated Flycatcher,Empidonomus varius,,"The normal range of this flycatcher is entirely within South America. But the populations nesting in the southern part of that continent are strongly migratory; birds from that area sometimes make errors in navigation and wind up far outside their normal haunts. Such strays have been found at least four times in North America, in Maine, Ontario, Tennessee, and Washington.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/variegated-flycatcher
Black Storm-Petrel,Hydrobates melania,,"This is the largest of the dark storm-petrels found off the west coast, and the one most likely to be seen from shore in southern California. It has a buoyant flight with deep wingbeats, low over the waves. The Black Storm-Petrel nests mainly on islands off western Mexico. The first breeding record for the United States was in 1976 on a rock near Santa Barbara Island, and a few may nest elsewhere in the Channel Islands.",Least Concern,Open Ocean,https://www.audubon.org/field-guide/bird/black-storm-petrel
Five-striped Sparrow,Amphispizopsis quinquestriata,,"This elegant Mexican sparrow was never found in our area until the late 1950s. It is now known to be a rare and local nesting bird in several canyons in southern Arizona, but no one knows if it was simply overlooked in the past or if it is actually a recent arrival north of the border. The Five-striped Sparrow favors steep brushy hillsides, where the male often sings his metallic song while perched on the spindly stems of ocotillo.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/five-striped-sparrow
Plain-capped Starthroat,Heliomaster constantii,,"A native of dry forest in Mexico and Central America, this big hummingbird strays northward into Arizona on occasion. Here it usually occurs in lowland areas near streams or in the open lower areas of canyons; most records have been in summer. Despite the evocative name of 'Starthroat,' the throat color is very hard to see without perfect lighting, and the bird usually looks quite dull overall.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/plain-capped-starthroat
Mitred Parakeet,Psittacara mitratus,,"This long-tailed green parakeet, marked with red on the face, is native to the eastern foothills of the Andes in southern South America. Bird escaped from captivity have established feral populations around Los Angeles and San Francisco, California, and locally in southeastern Florida. Often they are in mixed flocks with the similar Red-masked Parakeet, native to northwestern South America. In the United States, these birds live mostly in parks and suburbs with extensive exotic plantings, not in natural wild habitats.",Least Concern,"Forests and Woodlands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/mitred-parakeet
Eurasian Hobby,Falco subbuteo,,"A compact, fast-flying falcon, widespread in the Old World, the Eurasian Hobby has appeared in North America several times as a rare stray. Most records have been in Alaska, on the Aleutians and other islands and once on the mainland; it has also wandered to other parts of the continent, including the northwest (south to Washington) and the northeast (south to Massachusetts). Some of the Alaskan records have involved birds coming on board ships far out at sea. The Hobby is similar in behavior to our Merlin, often catching dragonflies or small birds in flight.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Forests and Woodlands",https://www.audubon.org/field-guide/bird/eurasian-hobby
Jabiru,Jabiru mycteria,,"This huge tropical stork is found mainly in South America. It is an uncommon breeder in southern Mexico, but wanderers have strayed as far north as Texas a few times, and one has reached Oklahoma. Occurrences north of the border have been in late summer or fall.",Least Concern,"Freshwater Wetlands, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/jabiru
Ivory Gull,Pagophila eburnea,,"A gleaming white bird of the frozen north, spending most of its life along shifting edges of pack ice in the Arctic Ocean. Its pristine appearance is belied by its feeding habits: the Ivory Gull often is a scavenger, eating carrion and even the droppings of other animals, and aggressively fighting over food. Seems to swim less often than most gulls. Only a very rare stray south of the Canadian border.",Near Threatened,"Coasts and Shorelines, Lakes, Ponds, and Rivers, Open Ocean, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/ivory-gull
Grace's Warbler,Setophaga graciae,,"A young man named Elliott Coues, later to become a leading ornithologist, discovered this bird in Arizona in 1864; perhaps homesick, he asked that it be named after his sister. Grace's Warbler is still common in the Southwest as a summer resident in mountain forests. It spends most of its time high in pine trees, where the male sings his thin rising chatter and where the female builds a neat, cup-shaped nest among a cluster of pine needles.",Least Concern,"Arroyos and Canyons, Forests and Woodlands",https://www.audubon.org/field-guide/bird/graces-warbler
Yellow-footed Gull,Larus livens,,"Ignored for years, passed off as a local race of Western Gull, the Yellow-footed Gull is actually a very distinct species. It nests only in the Gulf of California, that long narrow arm of sea between Baja and the Mexican mainland. Every summer, after nesting, many Yellow-footed Gulls move north across the desert to the landlocked Salton Sea in southern California.",Least Concern,"Coasts and Shorelines, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/yellow-footed-gull
Plumbeous Vireo,Vireo plumbeus,,"This is a common summer bird in the Rocky Mountain region, nesting in middle-elevation woodlands, often among oaks. When feeding, it works rather deliberately along branches, searching for insects. Its nest, a bulky cup suspended in the fork of a twig, is often easy to find. This bird was formerly lumped with the Blue-headed and Cassin's vireos under the name Solitary Vireo.",Least Concern,Forests and Woodlands,https://www.audubon.org/field-guide/bird/plumbeous-vireo
Little Gull,Hydrocoloeus minutus,,"This smallest of the gulls is a fairly recent arrival in North America, having invaded from Europe during the 20th century. Although records of stragglers go back many decades, the species was first found nesting on this continent in 1962. Since then it has nested at several points around the Great Lakes and Hudson Bay. Single birds often associate with flocks of Bonaparte's Gulls, sometimes with terns.",Least Concern,"Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/little-gull
